,brand,model,model_year,price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
150,Hyundai,Sonata,2019,25990,Black,Sport,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"67,667",https://www.carproof.com/order?ref=kijiji&vin=5NPE34AF2KH785943,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
151,Mercedes-Benz,CLA,2015,21888,White,CLA250 4MATIC |NAV|PANOROOF|HEATED SEATS |LED |B.SPOT,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"99,984",https://www.carproof.com/order?ref=kijiji&vin=WDDSJ4GB4FN239511,"5001 Steeles Ave W, North York, ON, M9L 2X1"
152,Cadillac,SRX,2013,21000,Grey,Luxury Collection,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"82,328",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
153,Chevrolet,Volt,2018,25990,Red,LT,Used,Wagon,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"89,467",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
154,Honda,Civic,2016,13900,Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"146,015",na,"375 Danforth Road, Scarborough, ON"
155,Ford,E-250,2009,8500,White,na,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"198,518",na,"Scarborough, ON M1L 2E8"
156,Ford,Fusion,2019,28990,Grey,"Titanium w/ SYNC 3, Adaptive Cruise Control",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"57,309",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
157,Hyundai,Tucson,2020,32890,Blue,"Luxury AWD w/ CarPlay & Android Auto, 360 Camera",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"25,284",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
158,Acura,ILX,2016,19990,White,"Base w/ Adaptive Cruise Control, Remote Starter",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"76,836",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
159,Hyundai,Santa Fe,2020,32990,White,"Preferred AWD w/ CarPlay, Heated Front Seats & Steering Wheel",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"48,218",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
